dataset,seed,variant,f1,acc,sparsity,w_min,w_max
HAR,0,none,0.942564,0.943652,0.0000,1.0000,1.0000
HAR,0,w-plain,0.953226,0.954515,0.0000,0.9500,1.0500
HAR,0,w-nonneg,0.953226,0.954515,0.0000,0.9500,1.0500
HAR,0,w-reg,0.953176,0.954515,0.0000,0.9500,1.0500
HAR,0,w-reg-nonneg,0.953176,0.954515,0.0000,0.9500,1.0500
HAR,0,full,0.942564,0.943652,0.0000,1.0000,1.0000
HAR,0,w-affine,0.942564,0.943652,0.0000,1.0000,1.0000
HAR,1,none,0.934812,0.935506,0.0000,1.0000,1.0000
HAR,1,w-plain,0.948214,0.949084,0.0000,0.6513,1.3494
HAR,1,w-nonneg,0.948214,0.949084,0.0000,0.6513,1.3494
HAR,1,w-reg,0.949567,0.950441,0.0000,0.6513,1.3494
HAR,1,w-reg-nonneg,0.949567,0.950441,0.0000,0.6513,1.3494
HAR,1,full,0.949567,0.950441,0.0000,0.6513,1.3494
HAR,1,w-affine,0.954425,0.955193,0.0000,0.4814,1.5272
HAR,2,none,0.937083,0.936864,0.0000,1.0000,1.0000
HAR,2,w-plain,0.943864,0.943652,0.0000,0.5643,1.4400
HAR,2,w-nonneg,0.943864,0.943652,0.0000,0.5643,1.4400
HAR,2,w-reg,0.939307,0.938900,0.0000,0.6036,1.3956
HAR,2,w-reg-nonneg,0.939307,0.938900,0.0000,0.6036,1.3956
HAR,2,full,0.939307,0.938900,0.0000,0.6036,1.3956
HAR,2,w-affine,0.944389,0.944331,0.0000,0.6536,1.3487
HAR,3,none,0.946436,0.946368,0.0000,1.0000,1.0000
HAR,3,w-plain,0.948662,0.948405,0.0000,0.9500,1.0500
HAR,3,w-nonneg,0.948662,0.948405,0.0000,0.9500,1.0500
HAR,3,w-reg,0.949417,0.949084,0.0000,0.9500,1.0500
HAR,3,w-reg-nonneg,0.949417,0.949084,0.0000,0.9500,1.0500
HAR,3,full,0.946436,0.946368,0.0000,1.0000,1.0000
HAR,3,w-affine,0.946436,0.946368,0.0000,1.0000,1.0000
HAR,4,none,0.956571,0.956551,0.0000,1.0000,1.0000
HAR,4,w-plain,0.955755,0.955872,0.0000,0.9500,1.0500
HAR,4,w-nonneg,0.955755,0.955872,0.0000,0.9500,1.0500
HAR,4,w-reg,0.955755,0.955872,0.0000,0.9500,1.0500
HAR,4,w-reg-nonneg,0.955755,0.955872,0.0000,0.9500,1.0500
HAR,4,full,0.956571,0.956551,0.0000,1.0000,1.0000
HAR,4,w-affine,0.961999,0.961982,0.0000,0.3678,1.6255
Bank,0,none,0.707731,0.843051,0.0000,1.0000,1.0000
Bank,0,w-plain,0.699719,0.895426,0.1373,-3.0158,4.9899
Bank,0,w-nonneg,0.717278,0.888260,0.0000,0.1372,1.8443
Bank,0,w-reg,0.673501,0.885783,0.3922,-0.4233,1.3727
Bank,0,w-reg-nonneg,0.698829,0.892329,0.2353,0.0000,1.2042
Bank,0,full,0.698829,0.892329,0.2353,0.0000,1.2042
Bank,0,w-affine,0.720921,0.884102,0.4118,0.0000,0.9270
Bank,1,none,0.706392,0.866319,0.0000,1.0000,1.0000
Bank,1,w-plain,0.711975,0.867734,0.0784,-0.3369,2.6815
Bank,1,w-nonneg,0.684917,0.891533,0.1373,0.0000,2.5513
