dataset,seed,sigma,method,f1,acc
HAR,0,0.1,ZeroShot,0.942108,0.942974
HAR,0,0.1,LFW(ours),0.942108,0.942974
HAR,0,0.1,FFT,0.952984,0.953836
HAR,0,0.1,BitFit,0.942108,0.942974
HAR,0,0.5,ZeroShot,0.913352,0.914460
HAR,0,0.5,LFW(ours),0.913352,0.914460
HAR,0,0.5,FFT,0.927317,0.928717
HAR,0,0.5,BitFit,0.913352,0.914460
HAR,0,1.0,ZeroShot,0.857451,0.858792
HAR,0,1.0,LFW(ours),0.857451,0.858792
HAR,0,1.0,FFT,0.872011,0.875085
HAR,0,1.0,BitFit,0.857451,0.858792
HAR,1,0.1,ZeroShot,0.929760,0.930754
HAR,1,0.1,LFW(ours),0.950420,0.951120
HAR,1,0.1,FFT,0.947611,0.947726
HAR,1,0.1,BitFit,0.931784,0.932790
HAR,1,0.5,ZeroShot,0.916849,0.917855
HAR,1,0.5,LFW(ours),0.934116,0.934827
HAR,1,0.5,FFT,0.932465,0.932111
HAR,1,0.5,BitFit,0.918318,0.919212
HAR,1,1.0,ZeroShot,0.858854,0.860149
HAR,1,1.0,LFW(ours),0.866457,0.867617
HAR,1,1.0,FFT,0.883834,0.884589
HAR,1,1.0,BitFit,0.855036,0.856076
HAR,2,0.1,ZeroShot,0.937091,0.936864
HAR,2,0.1,LFW(ours),0.940619,0.940258
HAR,2,0.1,FFT,0.955769,0.955193
HAR,2,0.1,BitFit,0.937091,0.936864
HAR,2,0.5,ZeroShot,0.908421,0.908350
HAR,2,0.5,LFW(ours),0.920556,0.920570
HAR,2,0.5,FFT,0.933363,0.932790
HAR,2,0.5,BitFit,0.908421,0.908350
HAR,2,1.0,ZeroShot,0.858469,0.860149
HAR,2,1.0,LFW(ours),0.871403,0.871690
HAR,2,1.0,FFT,0.888932,0.889341
HAR,2,1.0,BitFit,0.858469,0.860149
HAR,3,0.1,ZeroShot,0.947048,0.947047
HAR,3,0.1,LFW(ours),0.947048,0.947047
HAR,3,0.1,FFT,0.951459,0.951799
HAR,3,0.1,BitFit,0.947048,0.947047
HAR,3,0.5,ZeroShot,0.926317,0.926680
HAR,3,0.5,LFW(ours),0.926317,0.926680
HAR,3,0.5,FFT,0.927976,0.928038
HAR,3,0.5,BitFit,0.926317,0.926680
HAR,3,1.0,ZeroShot,0.855396,0.856076
HAR,3,1.0,LFW(ours),0.855396,0.856076
HAR,3,1.0,FFT,0.852009,0.855397
HAR,3,1.0,BitFit,0.855396,0.856076
HAR,4,0.1,ZeroShot,0.952750,0.952478
HAR,4,0.1,LFW(ours),0.952750,0.952478
HAR,4,0.1,FFT,0.936366,0.939579
HAR,4,0.1,BitFit,0.952750,0.952478
HAR,4,0.5,ZeroShot,0.919511,0.919212
HAR,4,0.5,LFW(ours),0.919511,0.919212
HAR,4,0.5,FFT,0.909912,0.913103
HAR,4,0.5,BitFit,0.919511,0.919212
HAR,4,1.0,ZeroShot,0.872306,0.871690
HAR,4,1.0,LFW(ours),0.872306,0.871690
HAR,4,1.0,FFT,0.832657,0.836388
HAR,4,1.0,BitFit,0.872306,0.871690
Bank,0,0.1,ZeroShot,0.707794,0.842874
Bank,0,0.1,LFW(ours),0.698014,0.891268
Bank,0,0.1,FFT,0.680234,0.837034
Bank,0,0.1,BitFit,0.709439,0.848447
Bank,0,0.5,ZeroShot,0.680130,0.820402
Bank,0,0.5,LFW(ours),0.685586,0.875431
Bank,0,0.5,FFT,0.669650,0.828099
Bank,0,0.5,BitFit,0.685644,0.829868
Bank,0,1.0,ZeroShot,0.627183,0.764310
Bank,0,1.0,LFW(ours),0.636665,0.821463
Bank,0,1.0,FFT,0.644294,0.804477
Bank,0,1.0,BitFit,0.633891,0.775635
Bank,1,0.1,ZeroShot,0.704528,0.864815
Bank,1,0.1,LFW(ours),0.680375,0.884013
Bank,1,0.1,FFT,0.695142,0.877378
Bank,1,0.1,BitFit,0.705848,0.869858
Bank,1,0.5,ZeroShot,0.694736,0.856144
Bank,1,0.5,LFW(ours),0.670292,0.869327
Bank,1,0.5,FFT,0.684768,0.868619
Bank,1,0.5,BitFit,0.694703,0.859683
Bank,1,1.0,ZeroShot,0.671100,0.829337
Bank,1,1.0,LFW(ours),0.621373,0.811378
Bank,1,1.0,FFT,0.660711,0.842431
Bank,1,1.0,BitFit,0.671864,0.835177
Bank,2,0.1,ZeroShot,0.728798,0.886933
Bank,2,0.1,LFW(ours),0.735413,0.886313
Bank,2,0.1,FFT,0.687378,0.831107
Bank,2,0.1,BitFit,0.728798,0.886933
Bank,2,0.5,ZeroShot,0.701541,0.866850
Bank,2,0.5,LFW(ours),0.702981,0.864107
Bank,2,0.5,FFT,0.665693,0.811201
Bank,2,0.5,BitFit,0.701541,0.866850
Bank,2,1.0,ZeroShot,0.652758,0.818544
Bank,2,1.0,LFW(ours),0.655392,0.816067
Bank,2,1.0,FFT,0.623047,0.772538
