dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
HAR,0,0.05,ZeroShot,0.943652,0.946380,0.941111,0.942564,0,0.00,0.0333
HAR,0,0.05,VarFilter,0.933469,0.932594,0.930995,0.931415,0,0.00,0.0429
HAR,0,0.05,MIFilter,0.883910,0.896666,0.880475,0.883656,0,0.00,0.0372
HAR,0,0.05,LR,0.862865,0.871613,0.859395,0.861543,3372,0.03,0.0010
HAR,0,0.05,SVM,0.856076,0.865456,0.852688,0.855218,32828,0.00,0.0217
HAR,0,0.05,RF,0.812627,0.823078,0.811907,0.813775,3506,0.25,0.0259
HAR,0,0.05,LinearProbe,0.927359,0.934233,0.925633,0.927210,3078,0.14,0.0371
HAR,0,0.05,BitFit,0.943652,0.946380,0.941111,0.942564,1542,0.12,0.0345
HAR,0,0.05,SSF,0.942295,0.946796,0.939306,0.940962,4194,0.21,0.0483
HAR,0,0.05,Adapter,0.932111,0.938034,0.928393,0.930122,66112,0.17,0.0420
HAR,0,0.05,LoRA,0.926680,0.936611,0.924104,0.926008,14556,0.40,0.0412
HAR,0,0.05,LFW(ours),0.941616,0.946016,0.938831,0.940470,561,0.26,0.0373
HAR,0,0.05,FFT,0.923965,0.923838,0.924430,0.923586,1103366,1.67,0.0342
HAR,0,0.1,ZeroShot,0.943652,0.946380,0.941111,0.942564,0,0.00,0.0377
HAR,0,0.1,VarFilter,0.935506,0.934555,0.933627,0.933878,0,0.00,0.0364
HAR,0,0.1,MIFilter,0.888663,0.900501,0.884724,0.887334,0,0.00,0.0640
HAR,0,0.1,LR,0.905635,0.912423,0.901378,0.903036,3372,0.06,0.0027
HAR,0,0.1,SVM,0.896130,0.902813,0.892208,0.893764,63392,0.01,0.0434
HAR,0,0.1,RF,0.873727,0.880462,0.867944,0.870066,5718,0.29,0.0260
HAR,0,0.1,LinearProbe,0.943652,0.946380,0.941111,0.942564,3078,0.14,0.0382
HAR,0,0.1,BitFit,0.943652,0.946380,0.941111,0.942564,1542,0.19,0.0372
HAR,0,0.1,SSF,0.943652,0.946380,0.941111,0.942564,4194,0.22,0.0511
HAR,0,0.1,Adapter,0.943652,0.946380,0.941111,0.942564,66112,0.15,0.0442
HAR,0,0.1,LoRA,0.943652,0.946380,0.941111,0.942564,14556,0.38,0.0415
HAR,0,0.1,LFW(ours),0.943652,0.946380,0.941111,0.942564,561,0.31,0.0397
HAR,0,0.1,FFT,0.947047,0.947918,0.944526,0.945364,1103366,1.90,0.0366
HAR,0,0.2,ZeroShot,0.943652,0.946380,0.941111,0.942564,0,0.00,0.0374
HAR,0,0.2,VarFilter,0.909029,0.916957,0.905524,0.907502,0,0.00,0.0410
HAR,0,0.2,MIFilter,0.885947,0.898547,0.882206,0.885286,0,0.00,0.0400
HAR,0,0.2,LR,0.934827,0.936417,0.933113,0.933753,3372,0.02,0.0010
HAR,0,0.2,SVM,0.936864,0.936619,0.935835,0.935708,117162,0.01,0.0773
HAR,0,0.2,RF,0.923965,0.924461,0.920692,0.921434,8972,0.29,0.0258
HAR,0,0.2,LinearProbe,0.943652,0.946380,0.941111,0.942564,3078,0.17,0.0350
HAR,0,0.2,BitFit,0.943652,0.946380,0.941111,0.942564,1542,0.24,0.0360
HAR,0,0.2,SSF,0.943652,0.946380,0.941111,0.942564,4194,0.36,0.0504
HAR,0,0.2,Adapter,0.943652,0.946380,0.941111,0.942564,66112,0.22,0.0474
HAR,0,0.2,LoRA,0.943652,0.946380,0.941111,0.942564,14556,0.51,0.0401
HAR,0,0.2,LFW(ours),0.943652,0.946380,0.941111,0.942564,561,0.54,0.0372
HAR,0,0.2,FFT,0.953836,0.955784,0.952221,0.952878,1103366,2.01,0.0375
HAR,0,0.5,ZeroShot,0.943652,0.946380,0.941111,0.942564,0,0.00,0.0362
HAR,0,0.5,VarFilter,0.909708,0.918286,0.904255,0.906657,0,0.00,0.0464
HAR,0,0.5,MIFilter,0.899525,0.905956,0.896983,0.899129,0,0.00,0.0419
HAR,0,0.5,LR,0.961303,0.962268,0.961608,0.961900,3372,0.06,0.0010
HAR,0,0.5,SVM,0.959946,0.960746,0.960570,0.960553,230362,0.04,0.1445
HAR,0,0.5,RF,0.953836,0.953606,0.952050,0.952576,16916,0.40,0.0260
HAR,0,0.5,LinearProbe,0.964698,0.964280,0.964965,0.964152,3078,0.45,0.0354
HAR,0,0.5,BitFit,0.943652,0.946380,0.941111,0.942564,1542,0.52,0.0366
HAR,0,0.5,SSF,0.951120,0.951541,0.949664,0.950291,4194,0.94,0.0486
HAR,0,0.5,Adapter,0.956551,0.956178,0.956131,0.955924,66112,1.09,0.0478
HAR,0,0.5,LoRA,0.966056,0.966608,0.965966,0.966137,14556,2.11,0.0404
HAR,0,0.5,LFW(ours),0.966056,0.966361,0.965890,0.965728,561,1.55,0.0375
HAR,0,0.5,FFT,0.968092,0.969610,0.965964,0.967074,1103366,5.61,0.0331
HAR,0,1.0,ZeroShot,0.943652,0.946380,0.941111,0.942564,0,0.00,0.0335
HAR,0,1.0,VarFilter,0.915139,0.919825,0.910701,0.912572,0,0.00,0.0390
HAR,0,1.0,MIFilter,0.898846,0.905869,0.896448,0.898732,0,0.00,0.0389
HAR,0,1.0,LR,0.972166,0.972979,0.972712,0.972807,3372,0.10,0.0011
