dataset,seed,noise_p,method,f1,acc
HAR,0,0.1,LFW(ours),0.942564,0.943652
HAR,0,0.1,FFT,0.935418,0.937542
HAR,0,0.1,BitFit,0.942564,0.943652
HAR,0,0.2,LFW(ours),0.942564,0.943652
HAR,0,0.2,FFT,0.893103,0.895451
HAR,0,0.2,BitFit,0.942564,0.943652
HAR,0,0.3,LFW(ours),0.942564,0.943652
HAR,0,0.3,FFT,0.917123,0.919212
HAR,0,0.3,BitFit,0.942564,0.943652
HAR,1,0.1,LFW(ours),0.936208,0.936864
HAR,1,0.1,FFT,0.929032,0.929396
HAR,1,0.1,BitFit,0.934775,0.935506
HAR,1,0.2,LFW(ours),0.917789,0.918534
HAR,1,0.2,FFT,0.894286,0.894094
HAR,1,0.2,BitFit,0.934729,0.935506
HAR,1,0.3,LFW(ours),0.881165,0.882553
HAR,1,0.3,FFT,0.871217,0.871690
HAR,1,0.3,BitFit,0.934729,0.935506
HAR,2,0.1,LFW(ours),0.905683,0.905635
HAR,2,0.1,FFT,0.938366,0.938221
HAR,2,0.1,BitFit,0.937083,0.936864
HAR,2,0.2,LFW(ours),0.878268,0.879158
HAR,2,0.2,FFT,0.899290,0.900204
HAR,2,0.2,BitFit,0.937083,0.936864
HAR,2,0.3,LFW(ours),0.937083,0.936864
HAR,2,0.3,FFT,0.839893,0.839783
HAR,2,0.3,BitFit,0.937083,0.936864
HAR,3,0.1,LFW(ours),0.946436,0.946368
HAR,3,0.1,FFT,0.907223,0.909029
HAR,3,0.1,BitFit,0.946436,0.946368
HAR,3,0.2,LFW(ours),0.946436,0.946368
HAR,3,0.2,FFT,0.884102,0.886626
HAR,3,0.2,BitFit,0.946436,0.946368
HAR,3,0.3,LFW(ours),0.946436,0.946368
HAR,3,0.3,FFT,0.896450,0.896130
HAR,3,0.3,BitFit,0.946436,0.946368
HAR,4,0.1,LFW(ours),0.957232,0.957230
HAR,4,0.1,FFT,0.930290,0.932111
HAR,4,0.1,BitFit,0.956571,0.956551
HAR,4,0.2,LFW(ours),0.956503,0.956551
HAR,4,0.2,FFT,0.908750,0.909029
HAR,4,0.2,BitFit,0.956571,0.956551
HAR,4,0.3,LFW(ours),0.956571,0.956551
HAR,4,0.3,FFT,0.897570,0.902240
HAR,4,0.3,BitFit,0.956571,0.956551
Bank,0,0.1,LFW(ours),0.725234,0.866584
Bank,0,0.1,FFT,0.680045,0.841812
Bank,0,0.1,BitFit,0.706545,0.843051
Bank,0,0.2,LFW(ours),0.726631,0.878439
Bank,0,0.2,FFT,0.645862,0.846324
Bank,0,0.2,BitFit,0.707820,0.835265
Bank,0,0.3,LFW(ours),0.691858,0.844643
Bank,0,0.3,FFT,0.647981,0.874900
Bank,0,0.3,BitFit,0.708665,0.835265
Bank,1,0.1,LFW(ours),0.696449,0.882332
Bank,1,0.1,FFT,0.691673,0.849155
Bank,1,0.1,BitFit,0.705237,0.862957
Bank,1,0.2,LFW(ours),0.702768,0.883836
Bank,1,0.2,FFT,0.634536,0.866142
Bank,1,0.2,BitFit,0.705670,0.863311
Bank,1,0.3,LFW(ours),0.698240,0.876935
Bank,1,0.3,FFT,0.622310,0.770415
Bank,1,0.3,BitFit,0.705453,0.863134
Bank,2,0.1,LFW(ours),0.717498,0.844112
Bank,2,0.1,FFT,0.716392,0.860568
Bank,2,0.1,BitFit,0.733411,0.883571
Bank,2,0.2,LFW(ours),0.717131,0.858091
Bank,2,0.2,FFT,0.662673,0.836592
Bank,2,0.2,BitFit,0.731360,0.885075
Bank,2,0.3,LFW(ours),0.685688,0.804831
Bank,2,0.3,FFT,0.664119,0.790233
Bank,2,0.3,BitFit,0.730992,0.884809
Bank,3,0.1,LFW(ours),0.726589,0.883217
Bank,3,0.1,FFT,0.711825,0.854817
Bank,3,0.1,BitFit,0.731176,0.871627
Bank,3,0.2,LFW(ours),0.726589,0.883217
Bank,3,0.2,FFT,0.651609,0.809077
Bank,3,0.2,BitFit,0.731501,0.871096
Bank,3,0.3,LFW(ours),0.726589,0.883217
