dataset,l1,l2,f1,sparsity
HAR,0.0,0.0,0.969792,0.0339
HAR,0.0,1e-05,0.969792,0.0374
HAR,0.0,0.0001,0.971253,0.0553
HAR,0.0,0.001,0.972614,0.1604
HAR,0.0,0.01,0.966324,0.3333
HAR,0.0001,0.0,0.972634,0.0766
HAR,0.0001,1e-05,0.968485,0.0624
HAR,0.0001,0.0001,0.974857,0.1319
HAR,0.0001,0.001,0.972614,0.1872
HAR,0.0001,0.01,0.966324,0.3422
HAR,0.001,0.0,0.974937,0.4064
HAR,0.001,1e-05,0.975602,0.4064
HAR,0.001,0.0001,0.975738,0.4082
HAR,0.001,0.001,0.972633,0.3850
HAR,0.001,0.01,0.963106,0.3886
HAR,0.01,0.0,0.946857,0.7112
HAR,0.01,1e-05,0.946182,0.7112
HAR,0.01,0.0001,0.947531,0.7077
HAR,0.01,0.001,0.948948,0.6952
HAR,0.01,0.01,0.951464,0.7148
HAR,0.1,0.0,0.942564,0.0000
HAR,0.1,1e-05,0.942564,0.0000
HAR,0.1,0.0001,0.942564,0.0000
HAR,0.1,0.001,0.942564,0.0000
HAR,0.1,0.01,0.942564,0.0000
Bank,0.0,0.0,0.713504,0.1373
Bank,0.0,1e-05,0.725470,0.0196
Bank,0.0,0.0001,0.720784,0.0392
Bank,0.0,0.001,0.724140,0.1373
Bank,0.0,0.01,0.703367,0.5294
Bank,0.0001,0.0,0.709769,0.1176
Bank,0.0001,1e-05,0.710381,0.1373
Bank,0.0001,0.0001,0.720323,0.0392
Bank,0.0001,0.001,0.708960,0.2353
Bank,0.0001,0.01,0.684726,0.0000
Bank,0.001,0.0,0.724239,0.1569
Bank,0.001,1e-05,0.723455,0.1569
Bank,0.001,0.0001,0.709726,0.5294
Bank,0.001,0.001,0.712514,0.5294
Bank,0.001,0.01,0.682262,0.0000
Bank,0.01,0.0,0.687785,0.0000
Bank,0.01,1e-05,0.687785,0.0000
Bank,0.01,0.0001,0.687404,0.0000
Bank,0.01,0.001,0.684495,0.0000
Bank,0.01,0.01,0.676657,0.0000
Bank,0.1,0.0,0.654894,0.0000
Bank,0.1,1e-05,0.655116,0.0000
Bank,0.1,0.0001,0.654894,0.0000
Bank,0.1,0.001,0.656213,0.0000
Bank,0.1,0.01,0.707731,0.0000
