dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
USPS,0,1,ZeroShot,0.2003,0.7587,0.2255,0.2096,0,0.0,0.5319
USPS,0,0.05,LinearProbe,0.8989,0.8910,0.8897,0.8891,1290,2.26,0.5009
USPS,0,0.05,BitFit,0.9163,0.9114,0.9124,0.9100,8714,4.97,0.5028
USPS,0,0.05,SSF,0.9352,0.9327,0.9301,0.9308,1792,5.79,0.5364
USPS,0,0.05,Adapter,0.9397,0.9349,0.9339,0.9335,25440,3.01,0.5430
USPS,0,0.05,LoRA,0.9472,0.9448,0.9432,0.9437,49704,7.23,0.8067
USPS,0,0.05,LFW(ours),0.8914,0.8887,0.8826,0.8826,3072,5.42,0.5232
USPS,0,0.05,FFT,0.9517,0.9488,0.9482,0.9482,1218186,6.77,0.5104
USPS,0,0.1,LinearProbe,0.9153,0.9100,0.9080,0.9080,1290,6.27,0.5154
USPS,0,0.1,BitFit,0.9412,0.9349,0.9389,0.9361,8714,12.10,0.5015
USPS,0,0.1,SSF,0.9472,0.9445,0.9430,0.9434,1792,11.78,0.5664
USPS,0,0.1,Adapter,0.9537,0.9485,0.9536,0.9509,25440,7.92,0.5572
USPS,0,0.1,LoRA,0.9492,0.9447,0.9470,0.9454,49704,8.05,0.7858
USPS,0,0.1,LFW(ours),0.8724,0.8817,0.8622,0.8626,3072,5.55,0.5165
USPS,0,0.1,FFT,0.9547,0.9516,0.9526,0.9518,1218186,10.18,0.5123
USPS,0,0.2,LinearProbe,0.9153,0.9098,0.9089,0.9082,1290,9.64,0.5153
USPS,0,0.2,BitFit,0.9397,0.9339,0.9364,0.9345,8714,14.24,0.5067
USPS,0,0.2,SSF,0.9547,0.9515,0.9516,0.9514,1792,31.79,0.6925
USPS,0,0.2,Adapter,0.9382,0.9322,0.9327,0.9317,25440,10.76,0.6962
USPS,0,0.2,LoRA,0.9497,0.9498,0.9456,0.9473,49704,31.89,0.9860
USPS,0,0.2,LFW(ours),0.9228,0.9188,0.9172,0.9160,3072,32.92,0.6291
USPS,0,0.2,FFT,0.9591,0.9546,0.9576,0.9559,1218186,20.40,0.6566
USPS,0,0.5,LinearProbe,0.9292,0.9232,0.9269,0.9243,1290,40.84,0.5061
USPS,0,0.5,BitFit,0.9571,0.9521,0.9551,0.9534,8714,73.48,0.4776
USPS,0,0.5,SSF,0.9537,0.9500,0.9506,0.9503,1792,32.05,0.5019
USPS,0,0.5,Adapter,0.9547,0.9513,0.9523,0.9515,25440,27.76,0.5149
USPS,0,0.5,LoRA,0.9646,0.9636,0.9628,0.9631,49704,46.83,0.7339
USPS,0,0.5,LFW(ours),0.9203,0.9126,0.9144,0.9122,3072,73.92,0.5019
USPS,0,0.5,FFT,0.9646,0.9618,0.9632,0.9623,1218186,111.51,0.5312
USPS,0,1,LinearProbe,0.9337,0.9325,0.9282,0.9299,1290,99.61,0.6434
USPS,0,1,BitFit,0.9631,0.9596,0.9606,0.9601,8714,135.03,0.5076
USPS,0,1,SSF,0.9636,0.9628,0.9613,0.9619,1792,171.28,0.5401
USPS,0,1,Adapter,0.9631,0.9591,0.9614,0.9601,25440,126.10,0.6100
USPS,0,1,LoRA,0.9666,0.9651,0.9648,0.9647,49704,147.95,0.9607
USPS,0,1,LFW(ours),0.9382,0.9333,0.9337,0.9326,3072,120.20,0.6534
USPS,0,1,FFT,0.9681,0.9675,0.9659,0.9665,1218186,90.84,0.5339
USPS,1,1,ZeroShot,0.2417,0.5428,0.2480,0.2411,0,0.0,0.5263
USPS,1,0.05,LinearProbe,0.8959,0.8911,0.8847,0.8861,1290,2.82,0.5011
USPS,1,0.05,BitFit,0.8969,0.8974,0.8851,0.8826,8714,3.90,0.5022
USPS,1,0.05,SSF,0.9367,0.9356,0.9309,0.9327,1792,6.82,0.5339
USPS,1,0.05,Adapter,0.9243,0.9221,0.9159,0.9170,25440,3.05,0.5407
USPS,1,0.05,LoRA,0.9407,0.9358,0.9348,0.9349,49704,6.40,0.7725
